B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,CDOM Proxy (B3/B4),NDCI,NSMI,B4/B3,B4/B2,B4/B1,GCE_Salinity,GCE_Temperature(C)
213,301,395,280,219,88,80,76,56,16,27,25,-0.573033708,1.410714286,-0.122244489,0.383196721,0.708860759,0.930232558,1.314553991,22.22,13.53
338,331,403,377,342,157,155,122,101,1,44,33,-0.511022044,1.068965517,-0.04867872,0.404140414,0.935483871,1.13897281,1.115384615,16.4,19.21
193,208,209,219,233,132,133,110,94,25,73,56,-0.331306991,0.9543379,0.030973451,0.34591195,1.04784689,1.052884615,1.134715026,12.56,22.01
344,369,407,352,338,183,189,157,133,74,72,51,-0.383104126,1.15625,-0.020289855,0.345744681,0.864864865,0.953929539,1.023255814,17.94,23.15
209,180,226,227,220,94,99,80,66,25,28,20,-0.478827362,0.995594714,-0.015659955,0.431279621,1.004424779,1.261111111,1.086124402,15.42,21.53
397,458,523,491,494,328,319,324,277,222,201,167,-0.204907975,1.065173116,0.003045685,0.377717391,0.938814532,1.072052402,1.236775819,16.05,22.8
578,691,808,767,773,514,514,501,433,353,340,305,-0.20977918,1.05345502,0.003896104,0.39011474,0.949257426,1.109985528,1.326989619,20.89,22.43
243,258,395,324,312,121,126,101,86,83,77,55,-0.524705882,1.219135802,-0.018867925,0.47185261,0.820253165,1.255813953,1.333333333,21.19,26.38
1655,638,759,736,873,848,955,488,1093,2983,1034,1124,-0.202614379,1.03125,0.085146053,0.401781528,0.96969697,1.153605016,0.444712991,22.98,27.97
789,1334,1470,1391,1517,1354,1349,1435,1240,1028,1239,933,0.01556971,1.056793674,0.043328748,0.364004768,0.946258503,1.042728636,1.762991128,26.52,30.04
818,927,987,858,979,886,930,979,911,2683,805,723,0.065868263,1.15034965,0.065868263,0.331168831,0.869300912,0.925566343,1.048899756,26.08,30.32
341,412,501,338,322,171,182,151,143,99,105,77,-0.382413088,1.482248521,-0.024242424,0.341326938,0.674650699,0.82038835,0.991202346,29.26,30.78
205,234,336,304,256,90,91,81,49,10,12,14,-0.579220779,1.105263158,-0.085714286,0.464530892,0.904761905,1.299145299,1.482926829,25.55,24.75
237,289,441,381,328,101,107,97,65,,9,7,-0.594142259,1.157480315,-0.074753173,0.479747975,0.863945578,1.3183391,1.607594937,27.43,23.96
252,360,469,316,262,77,91,73,61,1,21,18,-0.624678663,1.484177215,-0.093425606,0.371179039,0.673773987,0.877777778,1.253968254,28.77,19.94
345,480,603,509,470,175,176,144,96,1,9,8,-0.558958652,1.184675835,-0.039836568,0.396984925,0.844112769,1.060416667,1.475362319,28.01,22.86
176,265,343,223,178,57,61,52,33,1,34,26,-0.621818182,1.538116592,-0.112219451,0.3622142,0.650145773,0.841509434,1.267045455,27.14,18.74
273,318,438,306,267,83,73,79,52,1,16,19,-0.58961039,1.431372549,-0.068062827,0.401129944,0.698630137,0.962264151,1.120879121,26.91,12.87
330,376,529,349,298,106,97,86,62,1,14,13,-0.604597701,1.515759312,-0.078825348,0.400318979,0.65973535,0.928191489,1.057575758,27.77,10.81
283,359,564,429,387,136,129,130,73,1,19,14,-0.534883721,1.314685315,-0.051470588,0.468934911,0.760638298,1.194986072,1.51590106,25.81,15.32
287,323,535,411,371,128,121,123,69,2,18,13,-0.539325843,1.301703163,-0.051150895,0.490937746,0.768224299,1.27244582,1.432055749,25.81,15.32
354,457,545,352,308,186,181,164,148,102,109,102,-0.364341085,1.548295455,-0.066666667,0.324963072,0.64587156,0.7702407,0.994350282,24.89,18.88
478,554,699,573,542,266,256,224,161,83,67,54,-0.437892095,1.219895288,-0.027802691,0.3932092,0.819742489,1.034296029,1.19874477,28.23,15.52
512,542,689,567,527,260,251,224,161,61,66,52,-0.433628319,1.215167549,-0.036563071,0.397107898,0.822931785,1.046125461,1.107421875,28.23,15.52
446,580,690,551,512,256,253,224,176,130,92,83,-0.421935484,1.252268603,-0.036688617,0.36298737,0.798550725,0.95,1.235426009,28.17,16.85
483,570,681,546,499,250,249,223,176,95,91,81,-0.420026008,1.247252747,-0.044976077,0.365609349,0.801762115,0.957894737,1.130434783,28.17,16.85
504,589,687,487,461,228,218,192,153,119,77,58,-0.434462445,1.410677618,-0.02742616,0.33182076,0.708879185,0.826825127,0.966269841,27.35,21.32
581,701,824,667,666,505,503,490,460,452,407,377,-0.15298185,1.235382309,-0.000750188,0.36040146,0.809466019,0.95149786,1.148020654,26.14,25.47
457,497,621,574,869,1286,1465,1591,1675,1554,1452,958,0.469745958,1.081881533,0.204435204,0.412529551,0.92431562,1.154929577,1.256017505,28.65,29.1
613,568,723,682,975,1266,1491,1475,1599,1566,1429,864,0.367640241,1.060117302,0.176825588,0.424227065,0.94329184,1.200704225,1.112561175,23.86,31.08
430,500,627,600,874,1296,1510,1576,1684,1370,1546,1025,0.448529412,1.045,0.185888738,0.420961204,0.956937799,1.2,1.395348837,30.39,28.84
474,467,599,545,804,1248,1451,1473,1596,2029,1282,820,0.459861249,1.099082569,0.19199407,0.420235878,0.90984975,1.167023555,1.14978903,20.31,28.75
421,464,589,532,803,1148,1462,1430,1518,1751,1256,816,0.457696228,1.107142857,0.202996255,0.414511041,0.903225806,1.146551724,1.263657957,26.85,30.92
553,695,728,645,895,1316,1478,1690,1538,1862,1297,779,0.447537473,1.128682171,0.162337662,0.327852998,0.885989011,0.928057554,1.16636528,11.83,29.66
619,692,816,661,652,495,497,486,455,395,402,370,-0.152571927,1.234493192,-0.006854532,0.361917935,0.81004902,0.955202312,1.067851373,26.14,25.47
489,564,655,464,421,242,251,232,195,201,126,105,-0.333333333,1.411637931,-0.048587571,0.329768271,0.708396947,0.822695035,0.948875256,28.35,27.57
504,542,638,451,414,233,243,224,186,232,124,105,-0.336296296,1.414634146,-0.042774566,0.335377069,0.706896552,0.832103321,0.89484127,28.35,27.57
754,776,907,743,749,604,610,557,579,534,481,408,-0.143076923,1.220726783,0.004021448,0.360263809,0.819184123,0.957474227,0.985411141,27.89,29.38
851,757,892,731,732,592,600,548,570,501,475,402,-0.143080532,1.220246238,0.000683527,0.363865546,0.819506726,0.965653897,0.858989424,27.89,29.38
437,533,624,408,375,187,194,153,143,90,51,36,-0.454545455,1.529411765,-0.042145594,0.31884984,0.653846154,0.765478424,0.933638444,30.87,28.92
629,628,689,474,439,250,252,208,192,185,62,41,-0.390029326,1.453586498,-0.038335159,0.298715801,0.687953556,0.75477707,0.753577107,30.87,28.92
769,934,1070,923,939,714,722,667,658,811,602,556,-0.161006289,1.159263272,0.008592911,0.361803895,0.862616822,0.988222698,1.200260078,31.96,28.51
829,925,1061,916,924,705,716,662,653,728,595,545,-0.160963245,1.158296943,0.004347826,0.362508615,0.863336475,0.99027027,1.104945718,31.96,28.51
512,667,770,622,628,389,386,358,321,301,254,224,-0.269387755,1.237942122,0.0048,0.352112676,0.807792208,0.932533733,1.21484375,33.59,30.15
